date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,DEWP,wd,WSPM,station
2013-03-01 00:00:00,7.0,7.0,3.0,2.0,100.0,91.0,-2.3,-20.7,13.0,3.1,Huairou
2013-03-01 01:00:00,4.0,4.0,3.0,2.0,100.0,92.0,-2.7,-20.5,15.0,1.5,Huairou
2013-03-01 02:00:00,4.0,4.0,3.0,2.0,100.0,91.0,-3.2,-21.4,14.0,1.8,Huairou
2013-03-01 03:00:00,3.0,3.0,3.0,2.0,200.0,88.5,-3.3,-23.7,15.0,2.4,Huairou
2013-03-01 04:00:00,3.0,3.0,7.0,2.5,300.0,86.0,-4.1,-22.7,15.0,2.2,Huairou
2013-03-01 05:00:00,4.0,4.0,3.0,3.0,200.0,85.0,-4.2,-24.5,0.0,4.3,Huairou
2013-03-01 06:00:00,3.0,6.0,33.0,7.0,300.0,82.0,-5.9,-21.9,13.0,0.6,Huairou
2013-03-01 07:00:00,3.0,10.0,13.0,13.0,400.0,71.0,-2.7,-23.2,1.0,3.4,Huairou
2013-03-01 08:00:00,3.0,13.0,34.0,38.0,800.0,45.0,-1.6,-23.5,1.0,4.6,Huairou
2013-03-01 09:00:00,17.0,36.0,50.0,28.0,700.0,60.0,-1.1,-23.8,2.0,4.9,Huairou
2013-03-01 10:00:00,19.0,32.0,5.0,3.0,300.0,85.0,1.0,-23.6,5.0,2.7,Huairou
2013-03-01 11:00:00,10.0,11.0,3.0,3.0,300.0,87.0,2.4,-22.5,6.0,3.9,Huairou
2013-03-01 12:00:00,3.0,6.0,5.0,3.0,300.0,86.0,3.9,-21.3,12.0,1.9,Huairou
2013-03-01 13:00:00,3.0,6.0,7.0,3.0,300.0,87.0,4.7,-22.4,8.0,3.3,Huairou
2013-03-01 14:00:00,3.0,6.0,9.0,6.0,300.0,87.0,5.7,-22.6,14.0,1.9,Huairou
2013-03-01 15:00:00,3.0,3.0,4.0,3.0,200.0,89.0,5.4,-22.8,2.0,3.1,Huairou
2013-03-01 16:00:00,3.0,6.0,16.0,6.0,300.0,86.0,4.6,-22.5,2.0,3.2,Huairou
2013-03-01 17:00:00,4.0,10.0,13.0,12.0,300.0,80.0,3.4,-21.7,0.0,2.8,Huairou
2013-03-01 18:00:00,4.0,12.0,10.0,15.0,300.0,76.0,1.2,-21.2,3.0,1.4,Huairou
2013-03-01 19:00:00,9.0,18.0,24.0,22.0,500.0,68.0,0.8,-20.9,1.0,2.3,Huairou
2013-03-01 20:00:00,20.0,24.0,22.0,24.0,500.0,65.0,0.7,-20.4,1.0,4.4,Huairou
2013-03-01 21:00:00,23.0,29.0,27.0,16.0,400.0,71.0,-0.2,-20.0,2.0,3.3,Huairou
2013-03-01 22:00:00,13.0,20.0,23.0,18.0,400.0,68.0,-1.0,-19.6,2.0,3.7,Huairou
2013-03-01 23:00:00,13.0,24.0,50.0,23.0,400.0,61.0,-1.1,-19.2,2.0,3.7,Huairou
2013-03-02 00:00:00,15.0,21.0,44.0,28.0,500.0,57.0,-1.8,-19.3,2.0,4.8,Huairou
