date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
2013-03-01 00:00:00,9.0,9.0,3.0,17.0,300.0,89.0,-0.5,1024.5,-21.4,0.0,15.0,5.7
2013-03-01 01:00:00,4.0,4.0,3.0,16.0,300.0,88.0,-0.7,1025.1,-22.1,0.0,14.0,3.9
2013-03-01 02:00:00,7.0,7.0,4.0,17.0,300.0,60.0,-1.2,1025.3,-24.6,0.0,15.0,5.3
2013-03-01 03:00:00,3.0,3.0,5.0,18.0,250.0,72.0,-1.4,1026.2,-25.5,0.0,0.0,4.9
2013-03-01 04:00:00,3.0,3.0,7.0,21.5,200.0,84.0,-1.9,1027.1,-24.5,0.0,15.0,3.2
2013-03-01 05:00:00,4.0,4.0,9.0,25.0,300.0,78.0,-2.4,1027.5,-21.3,0.0,14.0,2.4
2013-03-01 06:00:00,5.0,5.0,10.0,29.0,400.0,67.0,-2.5,1028.2,-20.4,0.0,14.0,2.2
2013-03-01 07:00:00,3.0,6.0,12.0,40.0,400.0,52.0,-1.4,1029.5,-20.4,0.0,15.0,3.0
2013-03-01 08:00:00,3.0,6.0,12.0,41.0,500.0,54.0,-0.3,1030.4,-21.2,0.0,14.0,4.6
2013-03-01 09:00:00,3.0,6.0,9.0,31.0,400.0,69.0,0.4,1030.5,-23.3,0.0,0.0,5.5
2013-03-01 10:00:00,3.0,6.0,7.0,19.0,300.0,82.0,1.4,1030.2,-22.5,0.0,0.0,5.2
2013-03-01 11:00:00,6.0,6.0,7.0,19.0,400.0,83.0,2.9,1029.8,-22.9,0.0,15.0,5.3
2013-03-01 12:00:00,3.0,6.0,6.0,18.0,300.0,86.0,4.0,1028.6,-21.2,0.0,12.0,4.6
2013-03-01 13:00:00,3.0,6.0,5.0,16.0,300.0,91.0,5.0,1027.8,-21.2,0.0,14.0,4.5
2013-03-01 14:00:00,3.0,6.0,5.0,16.0,300.0,92.0,6.2,1027.6,-22.2,0.0,14.0,4.0
2013-03-01 15:00:00,3.0,10.0,5.0,17.0,300.0,92.0,6.0,1027.7,-21.3,0.0,15.0,2.1
2013-03-01 16:00:00,9.0,17.0,6.0,19.0,300.0,91.0,5.6,1027.7,-20.7,0.0,0.0,1.8
2013-03-01 17:00:00,9.0,22.0,9.0,21.0,400.0,87.0,4.4,1028.2,-20.9,0.0,0.0,3.5
