date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
2013-03-01 00:00:00,6.0,18.0,5.0,5.0,800.0,88.0,0.1,1021.1,-18.6,0.0,14.0,4.4
2013-03-01 01:00:00,6.0,15.0,5.0,5.0,800.0,88.0,-0.3,1021.5,-19.0,0.0,14.0,4.0
2013-03-01 02:00:00,5.0,18.0,5.5,5.0,700.0,52.0,-0.7,1021.5,-19.8,0.0,13.0,4.6
2013-03-01 03:00:00,6.0,20.0,6.0,5.0,650.0,62.5,-1.0,1022.7,-21.2,0.0,12.0,2.8
2013-03-01 04:00:00,5.0,17.0,5.0,5.0,600.0,73.0,-1.3,1023.0,-21.4,0.0,13.0,3.6
2013-03-01 05:00:00,4.0,11.0,3.0,5.0,700.0,87.0,-1.8,1023.6,-21.9,0.0,4.0,1.2
2013-03-01 06:00:00,3.0,6.0,3.0,5.0,700.0,92.0,-2.6,1024.3,-20.4,0.0,3.0,1.2
2013-03-01 07:00:00,5.0,5.0,3.0,5.0,800.0,86.0,-0.9,1025.6,-20.5,0.0,3.0,1.1
2013-03-01 08:00:00,5.0,9.0,5.0,5.0,900.0,81.0,0.1,1026.1,-20.3,0.0,3.0,3.0
2013-03-01 09:00:00,4.0,10.0,6.0,5.0,900.0,82.0,1.1,1026.1,-20.6,0.0,2.0,2.8
2013-03-01 10:00:00,7.0,8.0,8.0,5.0,900.0,82.0,1.9,1026.1,-21.3,0.0,3.0,3.0
2013-03-01 11:00:00,3.0,6.0,8.0,5.0,800.0,85.0,3.3,1026.1,-20.9,0.0,3.0,3.2
2013-03-01 12:00:00,9.0,10.0,8.0,5.0,800.0,86.0,4.1,1025.1,-20.3,0.0,3.0,3.2
2013-03-01 13:00:00,10.0,19.0,9.0,5.0,900.0,86.0,5.3,1024.1,-20.1,0.0,2.0,2.7
2013-03-01 14:00:00,13.0,20.0,8.0,5.0,800.0,88.0,5.5,1023.8,-20.0,0.0,2.0,2.1
2013-03-01 15:00:00,13.0,16.0,8.0,5.0,800.0,90.0,6.3,1023.5,-19.3,0.0,3.0,2.7
2013-03-01 16:00:00,11.0,22.0,6.0,5.0,800.0,90.0,5.9,1023.6,-18.8,0.0,3.0,1.8
2013-03-01 17:00:00,10.0,20.0,4.0,5.0,800.0,87.0,5.1,1024.2,-18.7,0.0,13.0,1.0
2013-03-01 18:00:00,11.0,20.0,6.0,5.0,900.0,80.0,3.7,1025.3,-19.2,0.0,4.0,1.6
2013-03-01 19:00:00,11.0,31.0,8.0,5.0,1000.0,69.0,2.7,1026.1,-19.3,0.0,4.0,1.7
2013-03-01 20:00:00,13.0,25.0,12.0,5.0,1100.0,61.0,1.6,1027.1,-18.4,0.0,5.0,1.9
2013-03-01 21:00:00,15.0,23.0,14.0,13.0,1200.0,52.0,1.0,1028.1,-17.4,0.0,7.0,0.7
2013-03-01 22:00:00,16.0,28.0,16.0,19.0,1200.0,45.0,1.3,1028.4,-17.6,0.0,4.0,1.0
2013-03-01 23:00:00,16.0,28.0,14.0,20.0,1100.0,44.0,0.2,1028.6,-17.6,0.0,5.0,1.1
2013-03-02 00:00:00,14.0,18.0,24.0,43.0,1399.0,25.0,-0.3,1028.9,-18.0,0.0,3.0,1.4
2013-03-02 01:00:00,18.0,39.0,25.0,28.0,1300.0,37.0,-0.7,1029.2,-17.9,0.0,4.0,1.0
2013-03-02 02:00:00,19.0,29.0,30.0,13.0,1100.0,47.0,-0.8,1028.8,-18.0,0.0,3.0,1.4
2013-03-02 03:00:00,15.0,24.0,20.0,12.0,1000.0,46.0,-1.2,1028.6,-17.9,0.0,3.0,1.1
2013-03-02 04:00:00,13.0,16.0,21.0,24.0,1200.0,37.0,-1.3,1028.7,-18.9,0.0,2.0,1.1
2013-03-02 05:00:00,12.0,23.0,26.0,11.0,1200.0,50.0,-1.3,1028.0,-18.4,0.0,3.0,1.4
2013-03-02 06:00:00,12.0,12.0,18.0,11.0,1000.0,62.0,-1.6,1027.5,-18.6,0.0,3.0,0.7
2013-03-02 07:00:00,3.0,6.0,19.0,11.0,1100.0,52.0,-1.3,1028.0,-17.9,0.0,5.0,0.6
2013-03-02 08:00:00,3.0,9.0,22.0,15.0,1200.0,51.0,-0.6,1027.7,-17.8,0.0,1.0,0.9
2013-03-02 09:00:00,10.0,15.0,30.0,27.0,1200.0,42.0,0.3,1027.8,-17.5,0.0,10.0,0.7
2013-03-02 10:00:00,15.0,17.0,34.0,45.0,1300.0,30.0,1.7,1027.2,-17.3,0.0,10.0,1.9
2013-03-02 11:00:00,20.0,31.0,27.0,45.0,1399.0,31.0,2.5,1026.4,-17.1,0.0,9.0,2.0
2013-03-02 12:00:00,26.0,36.0,26.0,23.0,1200.0,49.0,3.1,1025.1,-17.2,0.0,9.0,2.2
2013-03-02 13:00:00,31.0,43.0,23.0,6.0,1100.0,65.0,3.5,1023.7,-17.4,0.0,7.0,1.2
2013-03-02 14:00:00,32.0,36.0,26.0,12.0,1200.0,62.0,3.7,1022.9,-16.7,0.0,7.0,1.1
2013-03-02 15:00:00,36.0,37.0,40.0,22.0,1600.0,59.0,3.8,1022.3,-16.0,0.0,7.0,1.2
2013-03-02 16:00:00,47.0,66.0,47.0,30.0,1600.0,55.0,3.6,1021.7,-15.1,0.0,8.0,1.4
2013-03-02 17:00:00,59.0,80.0,50.0,32.0,1500.0,51.0,3.2,1021.6,-14.5,0.0,7.0,1.4
2013-03-02 18:00:00,63.0,88.0,50.0,36.0,1600.0,50.0,2.8,1021.2,-13.9,0.0,8.0,0.6
2013-03-02 19:00:00,70.0,102.0,62.0,62.0,1899.0,26.0,1.4,1021.1,-13.5,0.0,4.0,0.7
2013-03-02 20:00:00,86.0,125.0,66.0,89.0,2100.0,6.0,1.4,1021.1,-14.7,0.0,4.0,0.9
2013-03-02 21:00:00,98.0,147.0,67.0,84.0,2200.0,7.0,0.5,1020.7,-13.6,0.0,6.0,0.6
2013-03-02 22:00:00,98.0,126.0,71.0,97.0,2500.0,5.0,-0.8,1020.2,-12.7,0.0,15.0,0.6
2013-03-02 23:00:00,86.0,108.0,71.0,97.0,2600.0,5.0,-1.9,1019.2,-11.5,0.0,14.0,0.0
2013-03-03 00:00:00,81.0,108.0,64.0,91.0,2500.0,4.0,-2.5,1018.4,-11.0,0.0,13.0,0.5
