date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
2013-03-01 00:00:00,5.0,14.0,4.0,12.0,200.0,85.0,-0.5,1024.5,-21.4,0.0,15.0,5.7
2013-03-01 01:00:00,8.0,12.0,6.0,14.0,200.0,84.0,-0.7,1025.1,-22.1,0.0,14.0,3.9
2013-03-01 02:00:00,3.0,6.0,5.0,14.0,200.0,83.0,-1.2,1025.3,-24.6,0.0,15.0,5.3
2013-03-01 03:00:00,5.0,5.0,5.0,14.0,200.0,84.0,-1.4,1026.2,-25.5,0.0,0.0,4.9
2013-03-01 04:00:00,5.0,5.0,6.0,21.0,200.0,77.0,-1.9,1027.1,-24.5,0.0,15.0,3.2
2013-03-01 05:00:00,3.0,3.0,13.0,21.0,300.0,77.0,-2.4,1027.5,-21.3,0.0,14.0,2.4
2013-03-01 06:00:00,4.0,4.0,15.0,32.0,300.0,62.0,-2.5,1028.2,-20.4,0.0,14.0,2.2
2013-03-01 07:00:00,3.0,7.0,14.0,45.0,400.0,48.0,-1.4,1029.5,-20.4,0.0,15.0,3.0
2013-03-01 08:00:00,3.0,6.0,13.0,49.0,400.0,46.0,-0.3,1030.4,-21.2,0.0,14.0,4.6
2013-03-01 09:00:00,11.0,14.0,9.0,28.0,400.0,68.0,0.4,1030.5,-23.3,0.0,0.0,5.5
2013-03-01 10:00:00,3.0,7.0,6.0,20.0,300.0,77.0,1.4,1030.2,-22.5,0.0,0.0,5.2
2013-03-01 11:00:00,3.0,6.0,6.0,19.0,300.0,81.0,2.9,1029.8,-22.9,0.0,15.0,5.3
2013-03-01 12:00:00,3.0,6.0,4.0,17.0,300.0,86.0,4.0,1028.6,-21.2,0.0,12.0,4.6
2013-03-01 13:00:00,3.0,6.0,4.0,17.0,300.0,87.0,5.0,1027.8,-21.2,0.0,14.0,4.5
2013-03-01 14:00:00,6.0,11.0,4.0,19.0,300.0,86.0,6.2,1027.6,-22.2,0.0,14.0,4.0
2013-03-01 15:00:00,5.0,13.0,4.0,18.0,300.0,89.0,6.0,1027.7,-21.3,0.0,15.0,2.1
2013-03-01 16:00:00,5.0,12.0,4.0,21.0,300.0,85.0,5.6,1027.7,-20.7,0.0,0.0,1.8
2013-03-01 17:00:00,10.0,23.0,8.0,25.0,400.0,80.0,4.4,1028.2,-20.9,0.0,0.0,3.5
2013-03-01 18:00:00,11.0,22.0,7.0,27.0,400.0,77.0,3.2,1029.4,-20.3,0.0,15.0,0.5
2013-03-01 19:00:00,11.0,12.0,12.0,39.0,400.0,64.0,3.0,1030.1,-19.7,0.0,0.0,1.1
2013-03-01 20:00:00,10.0,14.0,18.0,46.0,500.0,55.0,1.6,1031.3,-19.0,0.0,3.0,1.2
2013-03-01 21:00:00,12.0,15.0,18.0,50.0,500.0,49.0,0.8,1032.4,-19.7,0.0,2.0,1.0
2013-03-01 22:00:00,17.0,20.0,20.0,56.0,600.0,43.0,0.1,1032.9,-19.2,0.0,3.0,1.8
2013-03-01 23:00:00,6.0,17.0,17.0,41.0,500.0,57.0,-0.5,1032.8,-19.7,0.0,2.0,2.1
2013-03-02 00:00:00,13.0,13.0,12.0,40.0,500.0,57.0,-0.7,1033.0,-18.3,0.0,4.0,0.6
2013-03-02 01:00:00,3.0,9.0,13.0,39.0,500.0,56.0,-1.6,1033.2,-17.4,0.0,3.0,0.0
2013-03-02 02:00:00,3.0,9.0,10.5,38.0,400.0,52.0,-2.2,1032.9,-16.7,0.0,0.0,0.0
2013-03-02 03:00:00,3.0,6.0,8.0,30.0,400.0,89.0,-3.1,1032.6,-15.8,0.0,0.0,0.0
2013-03-02 04:00:00,3.0,6.0,7.0,36.0,400.0,59.0,-3.1,1032.7,-16.1,0.0,0.0,0.0
2013-03-02 05:00:00,3.0,6.0,9.0,42.0,400.0,50.0,-2.4,1032.1,-18.1,0.0,1.0,0.8
2013-03-02 06:00:00,3.0,6.0,16.0,57.0,500.0,35.0,-2.3,1031.3,-18.4,0.0,0.0,1.5
2013-03-02 07:00:00,3.0,7.0,33.0,61.0,500.0,32.0,-1.9,1031.9,-18.5,0.0,0.0,1.4
2013-03-02 08:00:00,3.0,6.0,28.0,50.0,500.0,43.0,-0.9,1031.7,-18.0,0.0,1.0,1.6
2013-03-02 09:00:00,3.0,13.0,26.0,39.0,500.0,54.0,0.1,1031.7,-18.1,0.0,2.0,0.5
2013-03-02 10:00:00,3.0,9.0,25.0,43.0,500.0,52.0,1.5,1031.2,-18.0,0.0,3.0,0.6
2013-03-02 11:00:00,14.0,16.0,25.0,52.0,700.0,46.0,2.6,1030.2,-18.2,0.0,10.0,3.1
2013-03-02 12:00:00,18.0,19.0,24.0,75.0,1000.0,30.0,3.8,1029.0,-17.8,0.0,9.0,1.1
2013-03-02 13:00:00,26.0,37.0,29.0,72.0,1000.0,35.0,3.8,1027.6,-17.8,0.0,8.0,1.0
2013-03-02 14:00:00,33.0,42.0,24.0,59.0,800.0,48.0,3.9,1026.8,-18.3,0.0,9.0,0.4
2013-03-02 15:00:00,24.0,42.0,27.0,58.0,1000.0,50.0,4.3,1026.2,-18.0,0.0,9.0,1.5
2013-03-02 16:00:00,42.0,52.0,50.0,67.0,1300.0,44.0,4.1,1025.4,-16.9,0.0,9.0,1.9
2013-03-02 17:00:00,54.0,66.0,51.0,72.0,1200.0,38.0,3.2,1025.3,-16.0,0.0,11.0,1.3
2013-03-02 18:00:00,63.0,69.0,50.0,75.0,1100.0,34.0,2.2,1025.4,-15.8,0.0,2.0,0.4
2013-03-02 19:00:00,64.0,77.0,51.0,80.0,1200.0,28.0,1.6,1025.0,-15.4,0.0,0.0,0.1
2013-03-02 20:00:00,65.0,82.0,54.0,98.0,1399.0,13.0,0.7,1025.0,-15.3,0.0,0.0,1.0
2013-03-02 21:00:00,69.0,90.0,68.0,116.0,2200.0,6.0,0.5,1024.8,-15.1,0.0,0.0,0.2
2013-03-02 22:00:00,83.0,109.0,73.0,118.0,2200.0,6.0,-1.0,1024.2,-14.6,0.0,3.0,0.0
2013-03-02 23:00:00,92.0,114.0,78.0,108.0,2899.0,7.0,-1.3,1023.2,-14.5,0.0,0.0,0.0
2013-03-03 00:00:00,122.0,142.0,86.0,106.0,3100.0,8.0,-2.2,1022.3,-12.8,0.0,0.0,0.0
2013-03-03 01:00:00,134.0,152.0,72.0,108.0,3299.0,7.0,-1.8,1021.4,-13.3,0.0,12.0,0.7
2013-03-03 02:00:00,145.0,162.0,76.0,109.0,2899.0,7.0,-2.4,1020.4,-13.3,0.0,4.0,1.3
2013-03-03 03:00:00,139.0,145.0,88.0,111.0,2200.0,5.0,-3.3,1019.4,-12.5,0.0,5.0,1.2
2013-03-03 04:00:00,87.0,111.0,84.0,107.0,2500.0,5.0,-4.2,1019.0,-12.6,0.0,4.0,0.1
2013-03-03 05:00:00,90.0,109.0,77.0,102.0,3100.0,5.0,-5.2,1018.5,-11.6,0.0,2.0,0.9
2013-03-03 06:00:00,118.0,122.0,83.0,106.0,3399.0,6.0,-5.4,1018.3,-11.3,0.0,3.0,0.0
2013-03-03 07:00:00,118.0,122.0,74.0,103.0,3200.0,6.0,-3.3,1018.6,-9.8,0.0,0.0,0.1
2013-03-03 08:00:00,122.0,137.0,88.0,105.0,3200.0,5.0,1.2,1018.1,-13.7,0.0,0.0,0.8
2013-03-03 09:00:00,118.0,137.0,91.0,102.0,2600.0,6.0,4.0,1017.6,-13.4,0.0,6.0,0.6
2013-03-03 10:00:00,108.0,118.0,102.0,105.0,2299.0,10.0,6.8,1016.7,-13.5,0.0,9.0,1.1
2013-03-03 11:00:00,104.0,119.0,95.0,111.0,2200.0,14.0,9.5,1015.6,-13.7,0.0,12.0,0.5
2013-03-03 12:00:00,106.0,126.0,91.0,132.0,2600.0,14.0,13.4,1014.4,-13.6,0.0,13.0,1.8
2013-03-03 13:00:00,115.0,142.0,68.0,130.0,2399.0,19.0,15.5,1013.0,-13.8,0.0,14.0,4.0
2013-03-03 14:00:00,102.0,128.0,28.0,66.0,1200.0,50.0,16.4,1012.4,-15.4,0.0,12.0,7.0
2013-03-03 15:00:00,56.0,77.0,9.0,24.0,500.0,80.0,16.6,1012.0,-15.2,0.0,13.0,4.7
2013-03-03 16:00:00,30.0,70.0,8.0,28.0,500.0,78.0,15.8,1012.2,-14.7,0.0,3.0,1.3
2013-03-03 17:00:00,27.0,89.0,23.0,74.0,1000.0,56.0,12.6,1013.0,-13.4,0.0,9.0,1.3
2013-03-03 18:00:00,63.0,126.0,37.0,106.0,1300.0,35.0,9.9,1014.1,-10.3,0.0,13.0,1.0
2013-03-03 19:00:00,94.0,168.0,60.0,147.0,1899.0,10.0,6.8,1014.9,-9.6,0.0,12.0,0.0
2013-03-03 20:00:00,130.0,215.0,58.0,151.0,2200.0,5.0,5.2,1015.2,-8.3,0.0,12.0,0.0
2013-03-03 21:00:00,149.0,227.0,53.0,143.0,2399.0,5.0,4.0,1015.4,-9.1,0.0,0.0,0.2
2013-03-03 22:00:00,134.0,170.0,42.0,132.0,2600.0,5.0,2.7,1015.8,-8.4,0.0,13.0,0.4
2013-03-03 23:00:00,103.0,138.0,36.0,128.0,2799.0,5.0,7.1,1016.7,-12.2,0.0,0.0,0.4
2013-03-04 00:00:00,88.0,119.0,38.0,119.0,2899.0,6.0,9.9,1017.5,-14.1,0.0,0.0,4.9
2013-03-04 01:00:00,76.0,94.0,21.0,58.0,800.0,29.0,9.3,1018.4,-13.9,0.0,15.0,3.6
2013-03-04 02:00:00,26.0,42.0,7.0,17.0,400.0,74.0,8.4,1018.7,-13.9,0.0,0.0,1.5
2013-03-04 03:00:00,11.0,27.0,5.0,14.0,300.0,80.0,7.4,1018.6,-14.2,0.0,0.0,3.6
2013-03-04 04:00:00,7.0,12.0,8.0,18.0,300.0,74.0,6.2,1019.6,-15.2,0.0,15.0,2.7
2013-03-04 05:00:00,3.0,6.0,10.0,22.0,300.0,74.0,6.0,1020.1,-14.2,0.0,14.0,2.4
2013-03-04 06:00:00,3.0,6.0,14.0,39.0,400.0,53.0,4.2,1020.8,-12.7,0.0,14.0,2.0
2013-03-04 07:00:00,12.0,20.0,20.0,72.0,600.0,20.0,7.2,1021.5,-12.6,0.0,15.0,3.2
2013-03-04 08:00:00,10.0,24.0,26.0,75.0,700.0,19.0,8.6,1022.3,-14.4,0.0,2.0,2.8
2013-03-04 09:00:00,13.0,27.0,23.0,51.0,600.0,44.0,9.9,1022.6,-14.8,0.0,0.0,2.4
