Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-01-01 00:00:00,281.00,NA,40.40,26.60,56.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.20,101.00,NA,0.00,7.20,NA,NA
2017-01-01 00:15:00,278.00,NA,38.60,28.20,56.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.20,123.00,NA,0.00,6.50,NA,NA
2017-01-01 00:30:00,278.00,NA,37.80,28.80,55.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.20,173.00,NA,0.00,7.20,NA,NA
2017-01-01 00:45:00,278.00,NA,37.60,29.00,55.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,109.00,NA,0.00,8.00,NA,NA
2017-01-01 01:00:00,248.00,NA,37.90,28.60,55.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,107.00,NA,0.00,8.70,NA,NA
2017-01-01 01:15:00,245.00,NA,34.70,29.10,53.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.10,72.00,NA,0.00,8.60,NA,NA
2017-01-01 01:30:00,245.00,NA,33.00,30.10,52.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.10,117.00,NA,0.00,8.20,NA,NA
2017-01-01 01:45:00,245.00,NA,29.70,32.10,50.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.10,101.00,NA,0.00,8.00,NA,NA
2017-01-01 02:00:00,223.00,NA,27.00,33.00,49.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.10,306.00,NA,0.00,8.10,NA,NA
2017-01-01 02:15:00,220.00,NA,27.80,33.40,50.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,328.00,NA,0.00,7.00,NA,NA
2017-01-01 02:30:00,220.00,NA,32.70,30.60,52.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,316.00,NA,0.00,6.80,NA,NA
2017-01-01 02:45:00,220.00,NA,38.40,26.90,55.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,337.00,NA,0.00,7.30,NA,NA
2017-01-01 03:00:00,264.00,NA,36.60,27.40,54.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,289.00,NA,0.00,7.20,NA,NA
2017-01-01 03:15:00,268.00,NA,34.40,29.00,53.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.50,0.30,293.00,NA,0.00,7.80,NA,NA
2017-01-01 03:30:00,268.00,NA,33.20,28.40,51.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.50,0.30,290.00,NA,0.00,8.00,NA,NA
2017-01-01 03:45:00,268.00,NA,33.10,27.00,51.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.50,0.30,297.00,NA,0.00,8.20,NA,NA
2017-01-01 04:00:00,316.00,NA,32.10,27.20,50.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.50,0.30,357.00,NA,0.00,8.10,NA,NA
2017-01-01 04:15:00,320.00,NA,31.10,27.50,49.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.50,0.30,357.00,NA,0.00,8.20,NA,NA
2017-01-01 04:30:00,320.00,NA,29.40,28.70,48.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,332.00,NA,0.00,8.80,NA,NA
2017-01-01 04:45:00,320.00,NA,29.10,27.90,48.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,331.00,NA,0.00,8.30,NA,NA
2017-01-01 05:00:00,292.00,NA,30.70,26.30,48.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,56.00,NA,0.00,8.60,NA,NA
2017-01-01 05:15:00,289.00,NA,31.00,25.20,48.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,115.00,NA,0.00,8.70,NA,NA
2017-01-01 05:30:00,289.00,NA,28.90,26.60,47.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,115.00,NA,0.00,8.80,NA,NA
2017-01-01 05:45:00,289.00,NA,29.00,26.10,47.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,64.00,NA,0.00,8.10,NA,NA
2017-01-01 06:00:00,284.00,NA,29.60,25.10,47.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,58.00,NA,0.00,8.60,NA,NA
2017-01-01 06:15:00,284.00,NA,31.40,25.80,49.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,357.00,NA,0.00,9.30,NA,NA
2017-01-01 06:30:00,284.00,NA,32.50,25.50,49.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,355.00,NA,0.00,9.10,NA,NA
2017-01-01 06:45:00,284.00,NA,30.00,26.60,48.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,354.00,NA,0.00,8.30,NA,NA
2017-01-01 07:00:00,308.00,NA,27.30,27.10,46.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,353.00,NA,0.00,9.00,NA,NA
2017-01-01 07:15:00,311.00,NA,22.90,28.40,43.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,348.00,NA,0.00,11.40,NA,NA
2017-01-01 07:30:00,311.00,NA,22.80,28.10,43.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,343.00,NA,0.00,19.10,NA,NA
2017-01-01 07:45:00,311.00,NA,22.30,27.90,42.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.40,0.30,358.00,NA,0.00,28.80,NA,NA
2017-01-01 08:00:00,217.00,NA,23.30,27.80,43.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.50,0.30,352.00,NA,0.00,38.60,NA,NA
2017-01-01 08:15:00,207.00,NA,23.90,27.80,43.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,NA,NA,0.00,57.20,NA,NA
2017-01-01 08:30:00,207.00,NA,24.70,28.80,45.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,2.00,NA,0.00,79.60,NA,NA
2017-01-01 08:45:00,207.00,NA,23.10,30.60,44.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,5.00,NA,0.00,82.40,NA,NA
2017-01-01 09:00:00,223.00,NA,23.80,32.50,46.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,10.00,NA,0.00,101.40,NA,NA
2017-01-01 09:15:00,224.00,NA,25.40,32.20,47.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,3.00,NA,0.00,135.00,NA,NA
2017-01-01 09:30:00,224.00,NA,25.50,30.90,46.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.30,1.00,NA,0.00,201.40,NA,NA
2017-01-01 09:45:00,224.00,NA,26.60,30.60,47.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.40,7.00,NA,0.00,229.10,NA,NA
2017-01-01 10:00:00,303.00,NA,26.10,29.50,46.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.80,11.00,NA,0.00,254.60,NA,NA
2017-01-01 10:15:00,311.00,NA,26.50,29.30,46.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.60,0.60,13.00,NA,0.00,275.30,NA,NA
2017-01-01 10:30:00,311.00,NA,31.40,25.60,48.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.30,0.30,14.00,NA,0.00,299.80,NA,NA
2017-01-01 10:45:00,311.00,NA,29.70,26.10,47.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.40,0.70,24.00,NA,0.00,319.10,NA,NA
2017-01-01 11:00:00,333.00,NA,23.70,29.00,44.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.90,1.00,33.00,NA,0.00,334.40,NA,NA
2017-01-01 11:15:00,335.00,NA,22.60,29.50,43.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.40,1.10,32.00,NA,0.00,341.30,NA,NA
2017-01-01 11:30:00,335.00,NA,21.40,29.60,42.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.30,1.00,30.00,NA,0.00,314.30,NA,NA
2017-01-01 11:45:00,335.00,NA,19.90,30.10,41.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.40,0.80,30.00,NA,0.00,344.20,NA,NA
2017-01-01 12:00:00,282.00,NA,19.20,29.10,40.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.80,0.90,32.00,NA,0.00,355.10,NA,NA
2017-01-01 12:15:00,276.00,NA,20.20,28.40,41.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.20,0.90,21.00,NA,0.00,340.40,NA,NA
2017-01-01 12:30:00,276.00,NA,19.30,26.20,39.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.90,1.10,21.00,NA,0.00,330.80,NA,NA
2017-01-01 12:45:00,276.00,NA,20.10,25.60,39.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.20,0.80,20.00,NA,0.00,321.30,NA,NA
2017-01-01 13:00:00,266.00,NA,19.60,25.30,39.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.40,0.70,38.00,NA,0.00,309.30,NA,NA
2017-01-01 13:15:00,265.00,NA,19.10,24.60,38.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.50,1.00,25.00,NA,0.00,284.50,NA,NA
2017-01-01 13:30:00,265.00,NA,18.70,23.00,37.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.20,0.80,39.00,NA,0.00,263.00,NA,NA
2017-01-01 13:45:00,265.00,NA,18.60,22.30,36.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.80,0.70,36.00,NA,0.00,253.50,NA,NA
2017-01-01 14:00:00,245.00,NA,18.70,22.20,36.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.40,0.90,39.00,NA,0.00,245.30,NA,NA
2017-01-01 14:15:00,242.00,NA,19.70,21.20,37.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.80,0.30,75.00,NA,0.00,252.40,NA,NA
2017-01-01 14:30:00,242.00,NA,18.60,21.80,36.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.40,0.60,33.00,NA,0.00,240.80,NA,NA
2017-01-01 14:45:00,242.00,NA,16.30,23.00,35.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.00,0.40,88.00,NA,0.00,227.80,NA,NA
2017-01-01 15:00:00,148.00,NA,15.20,22.20,33.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.30,0.40,78.00,NA,0.00,212.20,NA,NA
2017-01-01 15:15:00,139.00,NA,16.30,22.30,34.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.20,0.50,93.00,NA,0.00,190.10,NA,NA
2017-01-01 15:30:00,139.00,NA,15.70,22.20,34.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.90,0.60,83.00,NA,0.00,158.70,NA,NA
2017-01-01 15:45:00,139.00,NA,15.40,23.30,34.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.40,0.50,106.00,NA,0.00,135.60,NA,NA
2017-01-01 16:00:00,74.00,NA,16.30,22.70,35.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.60,0.30,103.00,NA,0.00,113.60,NA,NA
