Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-01-01 00:00:00,3.87,347.00,83.70,100.10,203.53,NA,11.40,2.47,14.10,1.30,5.27,NA,NA,NA,NA,11.17,77.00,0.50,108.67,NA,0.00,9.00,739.00,NA
2017-01-01 00:15:00,3.60,347.00,77.97,95.90,191.87,NA,8.57,2.47,14.30,1.23,4.93,NA,NA,NA,NA,11.07,77.00,0.50,111.67,NA,0.00,9.00,739.00,NA
2017-01-01 00:30:00,3.27,347.00,52.20,92.23,153.47,NA,9.43,2.13,14.57,1.20,4.57,NA,NA,NA,NA,10.97,77.00,0.77,108.00,NA,0.00,9.00,739.00,NA
2017-01-01 00:45:00,2.97,331.67,58.07,86.90,156.70,NA,8.03,2.37,13.83,1.17,4.37,NA,NA,NA,NA,10.83,77.67,0.53,90.33,NA,0.00,9.00,739.00,NA
2017-01-01 01:00:00,2.67,324.00,84.53,89.90,195.57,NA,7.03,2.50,13.87,1.10,3.90,NA,NA,NA,NA,10.63,78.00,0.40,88.00,NA,0.00,9.00,739.00,NA
2017-01-01 01:15:00,2.73,324.00,83.03,94.07,197.27,NA,10.43,2.37,14.43,1.13,3.73,NA,NA,NA,NA,10.60,78.33,0.57,82.00,NA,0.00,9.00,739.00,NA
2017-01-01 01:30:00,3.07,324.00,55.93,91.77,158.13,NA,7.13,1.87,12.67,1.17,3.93,NA,NA,NA,NA,10.60,78.00,0.73,93.33,NA,0.00,9.00,739.00,NA
2017-01-01 01:45:00,2.83,296.67,44.37,87.83,138.83,NA,5.33,1.67,12.63,1.07,3.67,NA,NA,NA,NA,10.60,78.00,0.67,90.67,NA,0.00,9.00,739.00,NA
2017-01-01 02:00:00,2.23,283.00,54.23,84.40,149.23,NA,6.47,1.67,11.93,0.93,3.00,NA,NA,NA,NA,10.53,78.00,0.53,94.00,NA,0.00,8.67,739.00,NA
2017-01-01 02:15:00,2.00,283.00,46.20,89.03,142.40,NA,2.97,1.50,11.33,0.90,2.77,NA,NA,NA,NA,10.47,78.00,0.30,106.67,NA,0.00,9.00,739.00,NA
2017-01-01 02:30:00,1.93,283.00,43.70,83.77,134.30,NA,5.17,1.40,11.40,0.90,2.70,NA,NA,NA,NA,10.30,78.00,0.30,113.33,NA,0.00,9.00,739.00,NA
2017-01-01 02:45:00,1.73,239.67,43.37,77.53,128.33,NA,9.97,1.57,12.13,0.90,2.57,NA,NA,NA,NA,10.10,78.00,0.37,126.67,NA,0.00,9.00,739.00,NA
2017-01-01 03:00:00,1.60,218.00,55.00,67.23,134.97,NA,1.93,1.67,11.27,0.87,2.40,NA,NA,NA,NA,9.80,78.67,0.30,129.67,NA,0.00,9.67,739.67,NA
2017-01-01 03:15:00,1.60,218.00,63.13,72.37,150.67,NA,12.10,1.63,12.33,0.87,2.40,NA,NA,NA,NA,9.70,79.33,0.57,131.67,NA,0.00,9.00,740.00,NA
2017-01-01 03:30:00,1.87,218.00,42.87,73.57,124.07,NA,9.20,1.47,12.93,0.93,2.70,NA,NA,NA,NA,9.57,80.00,0.30,132.00,NA,0.00,9.00,740.00,NA
2017-01-01 03:45:00,1.80,218.67,33.47,69.20,107.33,NA,NA,1.33,13.33,1.00,2.67,NA,NA,NA,NA,9.47,80.00,0.30,121.67,NA,0.00,9.33,740.00,NA
2017-01-01 04:00:00,1.43,219.00,33.03,66.27,104.17,NA,5.90,1.30,12.50,0.93,2.37,NA,NA,NA,NA,9.33,80.00,0.30,55.67,NA,0.00,10.00,740.00,NA
2017-01-01 04:15:00,1.27,219.00,52.33,59.07,124.13,NA,4.40,1.40,12.77,0.90,2.30,NA,NA,NA,NA,9.20,81.00,0.30,80.33,NA,0.00,10.00,740.33,NA
2017-01-01 04:30:00,1.27,219.00,54.23,60.27,127.77,NA,4.27,1.50,13.43,0.90,2.30,NA,NA,NA,NA,9.13,81.00,0.30,130.00,NA,0.00,10.00,741.00,NA
2017-01-01 04:45:00,1.33,223.67,58.77,59.70,133.43,NA,14.20,1.60,13.10,0.90,2.30,NA,NA,NA,NA,9.07,81.00,0.30,117.00,NA,0.00,10.00,741.33,NA
2017-01-01 05:00:00,1.33,226.00,62.47,60.33,139.03,NA,NA,1.57,13.47,0.90,2.30,NA,NA,NA,NA,9.00,81.33,0.30,114.33,NA,0.00,10.67,742.00,NA
2017-01-01 05:15:00,1.37,226.00,67.57,60.57,146.23,NA,NA,1.50,13.37,0.90,2.30,NA,NA,NA,NA,9.10,82.00,0.30,110.00,NA,0.00,11.00,742.00,NA
2017-01-01 05:30:00,60.30,226.00,66.90,61.53,146.20,NA,NA,1.40,12.47,0.90,2.47,NA,NA,NA,NA,9.10,82.00,0.30,121.67,NA,0.00,10.67,742.00,NA
2017-01-01 05:45:00,175.33,216.00,57.07,68.27,138.77,NA,NA,1.33,13.17,0.90,2.60,NA,NA,NA,NA,9.10,82.00,0.30,86.00,NA,0.00,11.00,742.33,NA
2017-01-01 06:00:00,116.50,211.00,50.40,67.87,129.30,NA,14.65,1.30,13.13,0.90,2.37,NA,NA,NA,NA,9.07,82.00,0.30,115.00,NA,0.00,11.00,741.67,NA
2017-01-01 06:15:00,174.00,211.00,50.57,62.97,125.13,NA,12.83,1.30,13.07,0.90,2.20,NA,NA,NA,NA,8.90,82.00,0.30,117.00,NA,0.00,11.00,741.67,NA
2017-01-01 06:30:00,116.40,211.00,53.23,61.60,127.57,NA,12.47,1.27,13.17,0.90,2.20,NA,NA,NA,NA,8.90,82.00,0.30,75.67,NA,0.00,11.00,742.00,NA
2017-01-01 06:45:00,159.33,194.33,45.57,66.10,121.07,NA,12.30,1.20,12.23,0.90,2.27,NA,NA,NA,NA,9.03,82.00,0.30,108.00,NA,0.00,11.00,742.00,NA
2017-01-01 07:00:00,101.73,186.00,92.40,64.50,183.67,NA,15.73,1.43,14.13,0.90,2.13,NA,NA,NA,NA,9.10,82.00,0.30,89.00,NA,0.00,12.00,742.00,NA
2017-01-01 07:15:00,152.00,186.00,106.80,67.67,206.13,NA,11.87,1.67,15.97,0.90,2.10,NA,NA,NA,NA,9.00,82.00,0.30,91.67,NA,0.00,15.33,742.00,NA
2017-01-01 07:30:00,1.20,186.00,129.07,68.13,237.03,NA,18.90,1.90,18.53,0.97,2.37,NA,NA,NA,NA,9.07,82.00,0.30,67.33,NA,0.00,21.00,742.00,NA
2017-01-01 07:45:00,1.60,253.33,155.63,68.63,273.70,NA,22.53,2.13,19.50,1.20,3.17,NA,NA,NA,NA,9.30,82.00,0.30,55.00,NA,0.00,28.67,741.67,NA
2017-01-01 08:00:00,1.97,287.00,167.53,76.93,297.33,NA,19.30,2.27,21.90,1.37,3.90,NA,NA,NA,NA,9.63,82.00,0.30,56.00,NA,0.00,37.00,741.00,NA
2017-01-01 08:15:00,2.40,287.00,151.30,86.73,283.90,NA,NA,2.27,22.47,1.47,4.60,NA,NA,NA,NA,10.07,82.00,0.30,82.33,NA,0.00,45.00,740.00,NA
2017-01-01 08:30:00,2.70,287.00,129.77,103.80,269.70,NA,NA,2.33,24.43,1.50,5.13,NA,NA,NA,NA,10.57,81.00,0.33,115.67,NA,0.00,53.67,739.00,NA
2017-01-01 08:45:00,2.73,381.00,127.27,105.77,268.03,NA,NA,2.40,23.65,1.50,5.37,NA,NA,NA,NA,11.20,80.00,0.30,113.33,NA,0.00,64.00,739.00,NA
2017-01-01 09:00:00,2.70,428.00,84.50,118.70,221.10,NA,NA,2.17,NA,1.50,5.40,NA,NA,NA,NA,11.90,78.33,0.77,120.00,NA,0.00,81.00,739.00,NA
2017-01-01 09:15:00,2.77,428.00,69.27,110.83,193.33,NA,NA,2.07,13.20,1.43,5.20,NA,NA,NA,NA,12.80,76.00,0.57,98.33,NA,0.00,105.33,738.00,NA
2017-01-01 09:30:00,196.13,428.00,22.83,88.93,110.43,NA,NA,1.30,34.63,1.33,4.40,NA,NA,NA,NA,13.80,73.00,0.80,90.00,NA,0.00,129.00,738.00,NA
2017-01-01 09:45:00,99.13,345.33,12.10,75.90,84.15,NA,NA,1.10,40.57,1.20,3.80,NA,NA,NA,NA,14.47,70.33,1.07,106.67,NA,0.00,149.00,738.00,NA
2017-01-01 10:00:00,1.50,304.00,NA,NA,NA,NA,NA,NA,49.73,0.90,2.77,NA,NA,NA,NA,15.20,68.00,1.30,108.00,NA,0.00,170.33,738.00,0.10
2017-01-01 10:15:00,0.97,304.00,9.80,82.50,86.50,NA,28.80,1.10,56.63,0.80,2.10,NA,NA,NA,NA,15.93,65.33,1.10,100.00,NA,0.00,184.00,738.00,0.10
2017-01-01 10:30:00,0.70,304.00,47.90,141.67,191.50,NA,26.30,2.03,76.43,0.80,1.87,NA,NA,NA,NA,16.37,63.33,1.07,60.33,NA,0.00,183.67,738.00,NA
2017-01-01 10:45:00,0.80,270.00,30.30,126.73,154.23,NA,24.67,1.80,65.50,0.87,2.33,NA,NA,NA,NA,16.53,62.33,1.47,61.33,NA,0.00,193.33,738.00,-0.10
2017-01-01 11:00:00,1.67,253.00,22.10,136.47,151.77,NA,22.33,2.33,133.07,1.10,4.07,NA,NA,NA,NA,17.20,60.33,1.37,60.00,NA,0.00,197.33,738.00,NA
2017-01-01 11:15:00,2.17,253.00,24.00,142.93,160.10,NA,28.83,2.43,NA,1.20,4.53,NA,NA,NA,NA,17.23,59.67,1.47,59.33,NA,0.00,197.00,738.00,-0.10
2017-01-01 11:30:00,2.53,253.00,15.03,138.50,143.87,NA,25.50,2.20,178.47,1.33,5.40,NA,NA,NA,NA,17.70,58.33,1.03,74.00,NA,0.00,194.33,738.00,NA
2017-01-01 11:45:00,2.57,410.33,6.83,104.63,102.57,NA,20.10,1.63,122.27,1.33,5.80,NA,NA,NA,NA,18.53,55.33,0.93,88.00,NA,0.00,201.00,738.00,NA
2017-01-01 12:00:00,2.23,489.00,13.93,101.00,109.00,NA,18.83,1.33,93.30,1.17,5.23,NA,NA,NA,NA,19.07,53.33,1.17,87.67,NA,0.00,191.67,738.00,-0.10
2017-01-01 12:15:00,1.83,489.00,24.80,105.50,127.90,NA,24.67,1.30,81.13,1.03,4.60,NA,NA,NA,NA,19.17,52.33,1.30,71.67,NA,0.00,171.67,738.00,-0.10
2017-01-01 12:30:00,1.57,489.00,22.30,95.37,115.43,NA,23.17,1.07,79.03,0.93,4.00,NA,NA,NA,NA,19.37,50.67,1.37,66.00,NA,0.00,223.67,738.00,-0.10
2017-01-01 12:45:00,1.90,357.67,7.63,73.23,75.63,NA,22.87,1.00,98.10,0.90,3.67,NA,NA,NA,NA,19.60,49.00,1.23,83.33,NA,0.00,133.00,738.00,NA
2017-01-01 13:00:00,1.90,292.00,3.47,65.93,63.47,NA,23.00,0.87,114.30,0.83,3.33,NA,NA,NA,NA,19.73,49.00,1.07,86.67,NA,0.00,117.67,738.00,0.10
2017-01-01 13:15:00,1.43,292.00,8.33,66.17,70.30,NA,26.47,0.67,106.17,0.80,2.93,NA,NA,NA,NA,19.70,48.67,1.33,81.00,NA,0.00,107.67,738.00,0.10
2017-01-01 13:30:00,1.37,292.00,7.13,74.43,76.10,NA,22.50,0.73,92.30,0.73,2.87,NA,NA,NA,NA,19.93,48.00,1.03,83.67,NA,0.00,99.00,738.00,NA
