Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,332.54,502.56,28.11,11.49,39.58,NA,NA,4.48,25.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 00:15:00,350.54,527.91,27.40,9.48,36.97,NA,NA,4.36,25.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 00:30:00,403.21,541.05,27.00,9.49,36.48,NA,NA,4.49,24.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 00:45:00,436.44,532.66,30.28,12.32,42.51,NA,NA,5.10,23.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 01:00:00,448.51,548.88,39.68,13.83,53.49,NA,NA,5.95,22.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 01:15:00,506.59,621.85,52.00,11.72,63.69,NA,NA,6.26,19.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 01:30:00,622.40,758.48,56.62,10.51,67.10,NA,NA,6.35,18.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 01:45:00,717.85,872.14,59.17,9.52,68.69,NA,NA,6.14,13.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 02:00:00,741.59,876.10,53.88,8.69,62.60,NA,NA,6.01,13.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 02:15:00,730.19,839.61,43.91,13.25,57.19,NA,NA,5.86,18.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 02:30:00,675.36,758.69,44.54,10.24,54.76,NA,NA,6.10,18.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 02:45:00,642.90,720.74,52.54,9.31,61.85,NA,NA,6.44,12.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 03:00:00,660.88,752.37,53.26,10.43,63.65,NA,NA,6.53,12.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 03:15:00,688.27,785.72,57.80,11.12,68.94,NA,NA,6.56,15.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 03:30:00,686.32,788.06,71.12,10.97,82.07,NA,NA,6.59,19.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 03:45:00,668.77,783.74,78.11,8.49,86.67,NA,NA,6.57,20.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 04:00:00,652.76,783.43,60.79,17.83,78.58,NA,NA,6.42,13.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 04:15:00,650.99,776.09,62.93,10.96,73.91,NA,NA,6.17,14.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 04:30:00,625.21,745.40,54.70,13.35,68.12,NA,NA,6.12,13.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 04:45:00,590.79,704.16,51.24,15.68,66.87,NA,NA,6.04,16.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 05:00:00,554.12,675.68,50.42,15.54,65.95,NA,NA,5.99,17.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 05:15:00,541.31,659.92,49.95,11.55,61.58,NA,NA,5.97,21.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 05:30:00,541.47,656.95,49.20,10.28,59.53,NA,NA,5.77,20.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 05:45:00,578.50,655.02,36.63,8.05,44.68,NA,NA,5.27,21.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 06:00:00,594.71,618.14,37.70,8.77,46.47,NA,NA,5.26,20.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 06:15:00,556.42,565.51,34.72,8.33,43.07,NA,NA,5.23,21.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
