Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,244.55,290.12,102.72,26.49,129.19,NA,NA,1.70,18.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 00:15:00,245.71,237.70,101.54,26.48,128.03,NA,NA,1.80,18.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 00:30:00,337.53,187.25,104.24,26.66,130.88,NA,NA,1.57,17.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 00:45:00,452.33,202.32,101.59,26.43,128.01,NA,NA,1.65,18.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 01:00:00,364.80,272.65,104.88,26.34,131.23,NA,NA,1.58,18.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 01:15:00,225.99,322.67,101.96,26.48,128.43,NA,NA,1.71,17.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 01:30:00,128.78,303.33,103.66,26.35,130.02,NA,NA,1.45,17.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 01:45:00,101.56,276.44,101.45,26.88,128.32,NA,NA,1.56,18.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 02:00:00,167.09,265.17,102.28,26.42,128.72,NA,NA,1.41,17.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 02:15:00,214.50,260.57,101.00,26.56,127.55,NA,NA,1.23,17.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 02:30:00,163.50,253.56,102.64,26.48,129.15,NA,NA,1.28,18.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 02:45:00,134.62,234.83,102.76,26.61,129.34,NA,NA,1.15,17.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 03:00:00,113.58,228.38,102.20,26.36,128.57,NA,NA,1.05,17.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 03:15:00,70.18,230.42,100.89,26.36,127.21,NA,NA,1.02,17.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 03:30:00,NA,228.32,100.44,26.71,127.19,NA,NA,0.97,17.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 03:45:00,17.88,216.41,101.06,26.85,127.88,NA,NA,0.78,17.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 04:00:00,123.75,197.26,100.42,26.55,126.99,NA,NA,0.94,17.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 04:15:00,296.42,181.58,101.09,26.42,127.50,NA,NA,0.76,17.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 04:30:00,165.50,169.43,99.95,26.41,126.38,NA,NA,0.76,17.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 04:45:00,18.45,177.41,102.48,27.00,129.45,NA,NA,0.85,18.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 05:00:00,NA,199.86,99.77,26.67,126.43,NA,NA,0.78,17.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 05:15:00,NA,197.80,103.66,26.34,130.00,NA,NA,0.61,17.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 05:30:00,NA,176.22,100.82,26.72,127.53,NA,NA,0.65,17.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 05:45:00,3.99,162.45,103.08,26.43,129.51,NA,NA,0.68,17.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 06:00:00,29.91,161.57,99.04,26.76,125.79,NA,NA,0.69,16.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 06:15:00,23.25,164.60,101.89,26.48,128.40,NA,NA,0.69,17.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 06:30:00,218.85,164.17,99.96,26.55,126.48,NA,NA,0.57,17.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 06:45:00,411.52,157.17,101.40,26.81,128.24,NA,NA,0.52,17.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2023-01-01 07:00:00,474.60,142.53,101.20,26.30,127.48,NA,NA,0.65,17.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
