Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,162.00,165.00,180.00,49.30,172.50,89.30,7.60,2.15,8.50,17.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 00:15:00,164.00,168.00,167.60,47.50,161.50,96.30,7.40,2.22,8.50,17.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 00:30:00,159.00,163.00,163.20,41.60,154.80,105.70,7.40,2.12,8.70,17.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 00:45:00,151.00,154.00,170.10,40.00,159.60,98.80,7.60,2.10,8.70,17.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 01:00:00,149.00,152.00,172.40,38.70,160.70,104.00,7.40,2.04,8.60,16.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 01:15:00,151.00,153.00,154.90,35.70,145.00,116.60,7.50,1.77,8.30,16.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 01:30:00,149.00,151.00,146.90,37.30,139.30,120.10,7.40,1.61,8.30,16.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 01:45:00,143.00,146.00,142.50,33.50,133.70,123.00,7.30,1.53,8.20,15.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 02:00:00,134.00,138.00,139.50,31.20,130.00,117.80,7.20,1.50,8.30,15.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 02:15:00,125.00,128.00,138.80,28.70,128.10,119.60,7.00,1.41,8.40,15.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 02:30:00,119.00,122.00,150.00,30.50,138.20,97.40,7.40,1.58,8.30,15.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01 02:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
