site_name,Latitude,Longitude
Alipur,77.15,28.8
Anand Vihar,77.31,28.65
Ashok Vihar,77.18,28.69
Aya Nagar,77.13,28.47
Bawana,77.03,28.8
CRRI Mathura Road,77.27,28.55
Dr Karni Singh Shooting Rang,77.27,28.5
DTU,77.12,28.75
Dwarka-Sector 8,77.13,28.7
IGI Airport (T3),77.08,28.56
ITO,77.24,28.63
Jahangirpur,77.19,28.72
Jawaharlal Nehru Stadium,77.23,28.58
Major Dhyan Chand National Stadium,77.24,28.61
Mandir Marg,77.2,28.63
Mundka,77.03,28.68
Nehru Nagar,77.25,28.57
"North Campus,DU",77.21,28.69
Okhla Phase-2,77.27,28.52
Patparganj,77.3,28.64
Punjabi Bag,77.13,28.67
Pusa,77.16,28.64
R K Puram,77.18,28.56
Rohin,77.09,28.73
Sonia Vihar,77.25,28.72
Sri Aurobindo Marg,77.21,28.56
Wazirpur,77.16,28.7
