site_name,Latitude,Longitude,餐饮,购物,住宿,住宅,公司,工业,交通,汽车,科教,医疗,体育,娱乐,公园,景点,公共设施,政府,金融,生活服务,物流,道路附属
Aotizhongxin,39.982,116.397,53,3,2,88,38,156,256,238,129,182,29,2,0,174,58,83,32,2,0,0
Changping,40.217,116.23,56,19,17,185,220,128,450,327,450,450,97,9,0,19,258,170,0,0,210,0
Dingling,40.292,116.22,3,0,0,0,0,0,0,0,0,0,0,0,0,41,11,0,0,0,0,0
Dongsi,39.929,116.417,29,8,4,274,122,118,450,330,294,428,116,2,0,65,353,173,33,2,0,0
Guanyuan,39.929,116.339,33,7,2,0,79,59,231,450,258,286,74,1,0,17,305,0,0,0,0,0
Gucheng,39.914,116.184,49,25,46,145,97,91,0,252,377,390,30,7,0,21,244,103,0,0,0,0
Huairou,40.328,116.628,6,0,0,70,79,47,257,147,257,0,34,0,0,0,0,50,0,0,0,0
Nongzhanguan,39.937,116.461,0,10,9,0,108,336,450,397,450,450,83,3,0,13,324,147,0,0,0,0
Shunyi,40.127,116.655,41,7,9,79,110,0,441,0,393,0,22,4,0,22,263,0,0,0,0,0
Tiantan,39.886,116.407,0,0,0,93,56,45,127,242,0,172,62,0,0,104,0,0,0,0,0,0
Wanliu,39.987,116.287,3,2,4,20,9,13,5,86,21,5,4,0,0,0,0,24,0,0,7,0
Wanshouxigong,39.878,116.352,21,2,3,0,71,0,213,447,279,0,59,1,0,71,304,0,0,0,0,0
